x,y,token
-31.128883,-0.4320275,beautiful
-24.89952,35.116455,moonlight
-3.1927445,37.09949,mild
21.346394,-13.585422,draw
-53.550102,14.749846,back
18.40242,32.9494,fire
-38.291286,7.2945104,found
-1.8236268,36.91738,damp
0.9099263,-22.118965,dirty
-55.01217,1.5591751,catch
-1.6347123,36.93679,cold
17.668514,-33.71119,Look
-41.550735,11.862012,shoes
16.652122,-38.64469,Well
2.3958983,-39.002434,quite
-15.620253,-42.865616,surprising
-17.52075,32.91937,vast
0.2644298,42.157635,rain
24.419556,26.80254,rained
2.4405253,-39.85417,dreadfully
0.64894754,-17.313435,hard
-46.2968,-36.810013,breakfast
1.6677557,-40.900486,wanted
43.021866,-18.628506,By
15.437853,-36.98381,bye
21.427414,2.986675,joy
28.276806,-11.409836,Being
-34.962234,-11.423651,sort
-31.568281,-49.03636,feeling
6.8209043,-37.073284,hurry
-31.602928,-32.61512,congratulations
2.4529262,-49.531487,hope
-54.12096,17.104345,went
1.0085082,-50.08998,behave
45.989204,-12.4709215,Who
-48.40998,-14.578732,cried
19.157753,-34.82591,Ah
45.682106,-26.970232,Tis
2.6892102,-30.184225,business
7.389883,-44.37971,please
-3.9753635,-50.9344,possibly
9.891193,-40.464947,`
11.03386,-41.29017,.'
-18.583569,-54.002876,regard
20.954525,-37.34083,comes
-30.888012,-53.2602,question
-21.385624,-53.970894,dependence
-24.183195,-43.988705,independence
7.1824236,18.26726,At
-7.6520057,-53.29548,rate
-4.3182244,-40.880066,better
-4.5200686,-35.532223,_one_
-11.238961,-9.66011,those
-25.970247,-11.272111,fanciful
-3.6414123,-45.998608,troublesome
-15.450231,-40.862606,creature
-32.45823,11.352134,playfully
-46.202885,29.557558,head
0.13074194,-44.078876,certainly
7.330577,-47.177963,believe
-47.897182,-13.670772,","""
3.7877011,-37.791588,sometimes
31.321125,-31.606085,dearest
10.607903,-43.367107,mean
8.467779,-45.39701,_you_
-23.158583,-14.130796,horrible
-1.6383469,-39.25553,idea
19.112003,-35.06202,Oh
1.7600881,-40.94013,meant
4.025606,-50.548706,myself
-1.8852332,-34.28214,loves
1.5234365,-37.728954,joke
16.309292,9.425635,another
-33.16481,-11.148028,fact
-18.488348,-53.998558,faults
-6.1629047,-43.675163,told
-14.077694,-48.29803,agreeable
-6.4990187,-43.58423,knew
2.838963,-50.81939,suspect
7.175721,-42.629696,knows
4.252954,-47.922565,flatter
-28.447363,-52.452675,reflection
-40.59012,-3.6169116,has
-17.325249,-27.490278,persons
-4.781639,-37.96229,chances
-3.9614637,-52.58367,willing
53.23718,-9.17749,let
40.98617,26.463133,pass
-48.297085,-13.899389,"--"""
29.32032,-37.616985,hear
-5.0799413,-46.85914,behaved
6.1850066,-31.899776,charmingly
16.385942,9.394119,Every
-23.104898,-20.35001,punctual
-35.242657,-21.446672,looks
17.427734,28.146767,tear
-41.677784,17.872803,face
16.931828,13.246396,seen
34.270138,24.710186,apart
17.966738,-38.31331,Dear
-7.242233,34.42734,bears
8.924511,-48.982803,sorry
26.080608,-35.74038,lose
15.297046,-39.85432,miss
7.077871,-42.61345,thinks
16.327795,17.455597,turned
35.432823,25.302944,divided
16.230082,11.226369,tears
12.508456,0.94975525,smiles
12.7253895,-49.65428,should
34.386448,1.2773187,acceptable
-11.781152,-46.922447,important
-9.54558,-53.16923,secure
14.44281,15.885066,provision
38.186222,10.065147,therefore
0.011684207,-51.378925,allow
-21.69247,-58.401817,pain
-32.156403,-37.006783,happily
-4.0192895,-33.10833,forgotten
3.6774404,-35.3446,matter
-31.373297,-24.894838,considerable
25.488615,52.79386,four
-10.030239,-49.558296,proved
1.66188,-50.3829,marry
-43.46926,18.799278,shook
-26.18545,-22.009222,fondly
-47.401485,-14.1627,replied
-0.03470884,-35.78282,matches
-7.396481,-31.199787,foretell
-2.421085,-32.213867,whatever
17.22658,-40.417797,Pray
28.676443,-31.506119,none
-6.445334,-48.733505,greatest
-25.438751,-44.14356,amusement
-19.404531,-49.939354,success
-10.124777,-27.64816,widower
-31.576506,-51.211723,perfectly
-27.260954,-38.487324,constantly
-29.78219,-30.222244,occupied
-28.069666,-43.81736,either
-3.594008,-45.966927,friends
-6.6891804,-30.238503,wherever
9.344095,-46.50112,need
-36.474705,-40.70321,spend
9.811593,-15.097665,single
58.01565,41.046078,year
28.587389,-27.722256,alone
7.4750986,15.452716,Some
-4.3346705,-37.79538,others
58.940434,24.620766,son
-44.56008,-33.009502,uncle
-47.172424,2.55866,letting
2.0940533,24.322653,solemn
10.846118,-36.485336,nonsense
-26.626804,-53.971195,subject
21.633396,-40.45413,believed
-3.3819268,46.531956,Ever
-4.960657,-44.622906,since
-39.82394,-35.242844,met
-9.844272,28.089422,Broadway
-34.857456,5.996584,Lane
-43.02062,2.259301,began
-38.096996,36.49364,darted
-21.29421,-46.343384,gallantry
12.518734,13.83168,borrowed
-53.365242,-5.9935694,Farmer
-1.5599654,-23.614786,planned
38.125668,6.0929103,blessed
2.378508,-31.720345,instance
1.0790408,-48.379448,leave
-1.5150974,-15.844021,making
7.361221,-47.48362,understand
-39.49262,-11.222374,",'"""
-9.589712,7.2071314,supposes
-8.38622,-54.62258,endeavour
31.720728,-31.835676,Your
-8.651261,-49.295208,properly
5.890226,-13.855605,delicately
-8.870657,-51.83665,endeavouring
34.442703,-9.878506,bring
36.46724,-12.830194,worthy
-25.065561,-43.979755,employment
12.044094,18.818228,young
-39.94353,-15.415794,lady
2.9540744,-50.742424,imagine
-15.235955,-35.793472,planning
53.681587,15.309928,saying
8.815273,-45.84204,yourself
-2.1870456,-37.59742,idle
-51.23212,-7.3752475,",'"
11.187586,-44.6822,why
8.865152,-43.70417,talk
46.027786,-12.809444,Where
-18.996405,-52.43784,merit
32.10668,7.223155,proud
10.215962,-41.9211,guess
4.358963,-44.615845,_that_
11.901514,-47.005615,can
5.745851,-26.076021,known
12.844245,-0.25588164,triumph
1.5901295,-35.48343,cleverer
0.056820836,-46.512234,depend
-21.521439,-13.788798,merely
7.9559546,-37.275932,luck
9.541446,-21.869295,There
14.341228,39.576954,talent
42.15479,10.611036,word
3.717407,-45.682243,quarrel
-19.877594,-53.335846,claim
-31.979736,21.772192,drawn
-16.140148,-10.194341,pictures
4.50243,-38.96679,something
0.31466603,-36.170414,nothing
45.36821,-21.855423,If
-36.19363,-43.835865,visits
30.332195,12.984867,given
-15.835764,4.909845,smoothed
-3.9231052,-37.69859,matters
2.2384984,-39.296642,enough
-4.190627,-53.254627,comprehend
-42.436558,15.156797,open
-11.026231,-43.735867,hearted
-11.862368,-43.798096,unaffected
1.0020393,-28.54862,safely
9.773591,-44.27372,manage
-11.862644,-47.991333,likely
1.7715708,-49.315598,harm
-5.7827334,-50.993904,interference
-43.066742,-11.799819,rejoined
36.102192,1.2500055,understanding
50.319347,-9.925837,pray
-11.588773,-45.564087,silly
22.499485,27.414915,break
-27.02495,4.80736,circle
29.902332,18.367805,grievously
46.332947,-2.0711348,Only
-40.06806,-49.803707,Elton
-48.131027,-3.632323,",--"
7.1010838,-38.788303,look
-10.35092,-14.728745,whole
-20.129314,-31.360659,fitted
-36.413364,-38.3444,comfortably
30.208271,3.1016572,shame
-7.5539336,-59.065765,longer
-23.619913,14.589261,joining
7.2945375,29.358547,hands
-32.10694,-13.871599,same
30.214077,36.16058,service
37.281013,-2.078429,shew
-26.09694,-51.6212,attention
3.8988118,-49.3131,ask
9.076946,-45.34572,dare
-4.4538183,37.4117,With
-49.088444,-12.100189,laughing
-49.23182,6.983564,fish
1.4046627,-23.39786,chicken
0.21203302,-49.106934,chuse
0.20410387,-46.36793,Depend
25.893045,52.120792,six
4.9234633,-42.32854,care
29.84865,-48.376415,II
-16.63602,23.016111,native
47.421295,21.589714,born
-18.720152,-45.57963,respectable
28.77149,36.79535,generations
-22.92975,31.194277,rising
-16.56034,-44.144974,gentility
-21.420483,-44.675095,property
-29.32423,-43.412582,received
-22.341444,-51.28391,education
-28.077969,-32.205555,succeeding
-35.455845,10.245464,small
29.193392,-9.056153,become
-28.459766,-36.45686,indisposed
2.0332112,-4.4656725,homely
-24.703218,-36.70706,pursuits
-3.9914057,-31.672659,brothers
-38.04758,-39.53642,engaged
-7.2602715,-49.33497,satisfied
-20.854221,-46.741867,active
-22.508217,-39.088963,social
36.36936,31.42921,entering
-1.7576168,-20.924667,militia
-21.655466,8.189148,county
-13.905046,1.6378038,embodied
-36.50593,-47.956657,Captain
-18.46448,-40.56104,general
-33.755436,-43.726913,favourite
-42.244316,-6.5006194,military
-34.905155,-43.62573,introduced
-39.693237,-49.62987,Churchill
-9.924935,-31.332993,Yorkshire
32.853928,30.449387,fell
28.01465,-4.051877,love
-4.4352393,-48.474007,surprized
5.5551867,-27.83671,except
16.330126,40.177006,full
26.032803,-3.1918209,pride
-20.10564,-47.129375,importance
-19.591032,-47.987305,connexion
27.16305,-35.128494,offend
37.243927,-2.4773593,command
-35.647972,16.321144,bore
-18.041637,-42.468117,proportion
-21.523005,-44.49848,estate
38.55149,23.855494,took
6.5635557,13.188511,infinite
-27.443647,-49.39397,mortification
-47.319218,23.73727,threw
-22.97837,-43.468742,due
-18.81896,-31.452389,decorum
-13.58722,-32.287548,unsuitable
-19.147057,-43.519325,produce
1.3489758,-49.397278,ought
49.21245,21.670097,whose
-25.704954,-38.37873,warm
0.34913126,44.98163,sweet
32.48329,-10.166481,return
38.202694,1.1791283,goodness
24.405888,4.872345,spirit
